customer_id,account_id,current_balance,account_type,opening_date,account_status
0,0,2608.0,salário,2025-01-09 11:33:59.049316,bloqueada
1,1,984.42,corrente,2025-01-17 09:08:35.426059,pendente
2,2,2802.0,poupança,2025-02-27 04:54:28.989903,pendente
3,3,6689.04,corrente,2025-02-15 22:53:17.885574,pendente
4,4,11751.15,salário,2025-02-14 11:53:38.395344,bloqueada
5,5,7350.44,corrente,2025-01-12 20:34:02.650111,pendente
6,6,7442.53,corrente,2025-01-02 09:53:35.469207,desbloqueada
7,7,7966.75,salário,2025-02-02 01:01:27.800152,pendente
8,8,12180.06,corrente,2025-03-21 12:50:56.232251,desbloqueada
9,9,9442.17,corrente,2025-03-15 02:19:08.062124,bloqueada
10,10,126.06,poupança,2025-03-23 14:26:04.407168,pendente
11,11,8981.08,salário,2025-04-08 21:19:20.212765,bloqueada
12,12,463.64,corrente,2025-02-01 10:31:57.367939,bloqueada
13,13,12040.02,poupança,2025-03-19 07:19:15.785370,bloqueada
14,14,10080.83,poupança,2025-03-06 16:57:24.163748,bloqueada
15,15,7040.87,salário,2025-01-11 11:29:08.932420,bloqueada
16,16,7075.29,corrente,2025-01-22 00:55:36.183102,desbloqueada
17,17,6355.47,salário,2025-01-09 15:50:10.876062,desbloqueada
18,18,5060.62,poupança,2025-04-15 09:01:06.425799,bloqueada
19,19,13289.83,poupança,2025-03-04 02:02:02.781636,desbloqueada
20,20,12105.97,poupança,2025-04-12 18:12:12.107127,pendente
21,21,7253.92,corrente,2025-04-13 01:38:19.959316,bloqueada
22,22,14366.03,poupança,2025-04-09 11:53:24.573507,bloqueada
23,23,7812.69,poupança,2025-01-28 19:49:48.766217,desbloqueada
24,24,4526.62,corrente,2025-04-10 04:23:49.703579,pendente
25,25,12385.08,corrente,2025-02-16 14:10:57.565593,pendente
26,26,12574.53,corrente,2025-01-11 09:47:49.477397,pendente
27,27,6080.91,corrente,2025-01-10 21:52:38.677776,pendente
28,28,9028.09,salário,2025-02-21 20:43:48.880111,pendente
29,29,9362.25,corrente,2025-03-25 16:13:36.702489,bloqueada
30,30,8197.22,salário,2025-04-03 04:21:35.608160,bloqueada
31,31,12089.76,salário,2025-03-16 00:12:35.213059,desbloqueada
32,32,9437.55,corrente,2025-04-02 12:57:47.313979,pendente
33,33,5615.24,salário,2025-01-09 07:57:51.559707,pendente
34,34,8906.16,salário,2025-03-24 05:47:41.623595,desbloqueada
35,35,1278.93,poupança,2025-03-30 08:33:20.315854,bloqueada
36,36,6764.88,corrente,2025-01-06 02:54:48.556853,desbloqueada
37,37,13328.63,corrente,2025-04-11 03:42:27.866278,pendente
38,38,10658.54,poupança,2025-02-16 07:15:59.749152,desbloqueada
39,39,9448.19,salário,2025-01-04 01:19:52.069336,bloqueada
40,40,1700.78,poupança,2025-04-11 15:08:55.832297,desbloqueada
41,41,3711.34,salário,2025-01-18 09:01:44.037654,pendente
42,42,4895.04,poupança,2025-02-02 11:33:00.107124,desbloqueada
43,43,14546.62,salário,2025-01-25 12:31:20.829971,bloqueada
44,44,9810.99,corrente,2025-02-27 22:00:49.860865,pendente
45,45,10660.44,corrente,2025-02-05 17:11:59.913254,pendente
46,46,13780.51,salário,2025-01-24 00:41:18.293133,bloqueada
47,47,596.12,corrente,2025-01-13 03:44:57.522461,desbloqueada
48,48,3603.82,salário,2025-03-10 07:54:16.609852,bloqueada
49,49,14724.49,poupança,2025-04-04 15:50:43.730972,bloqueada
50,50,5865.37,poupança,2025-02-16 20:21:53.518900,pendente
51,51,6155.23,poupança,2025-03-03 20:25:45.672324,bloqueada
52,52,14429.62,corrente,2025-04-03 17:59:37.826921,pendente
53,53,3264.4,corrente,2025-03-10 11:26:28.453987,desbloqueada
54,54,14783.38,corrente,2025-03-28 17:25:11.683675,pendente
55,55,4735.63,corrente,2025-02-18 00:41:57.201039,pendente
56,56,9641.34,poupança,2025-03-23 13:51:18.356093,pendente
57,57,3217.83,salário,2025-04-11 04:32:58.977207,pendente
58,58,11556.71,corrente,2025-02-05 02:07:45.627591,bloqueada
59,59,4133.5,poupança,2025-02-25 17:50:59.696322,bloqueada
60,60,9421.73,corrente,2025-02-12 23:16:04.488043,pendente
61,61,9029.45,poupança,2025-01-02 01:51:35.339600,pendente
62,62,1657.13,corrente,2025-01-27 20:58:59.649800,desbloqueada
63,63,4732.05,poupança,2025-02-24 01:40:11.572816,pendente
64,64,9399.95,salário,2025-03-30 20:43:44.723497,pendente
65,65,2809.43,corrente,2025-02-11 16:06:48.771711,bloqueada
66,66,6302.85,salário,2025-02-01 13:54:36.006004,desbloqueada
67,67,4857.89,corrente,2025-03-02 22:17:16.900839,bloqueada
68,68,11739.14,salário,2025-04-13 13:42:05.480689,desbloqueada
69,69,11506.63,poupança,2025-03-27 09:37:46.984661,desbloqueada
70,70,13139.93,salário,2025-04-03 01:21:24.331795,bloqueada
71,71,11445.08,poupança,2025-04-10 19:45:05.613277,bloqueada
72,72,10055.12,poupança,2025-02-23 03:33:13.107545,bloqueada
73,73,7566.27,poupança,2025-04-14 00:34:12.905329,bloqueada
74,74,4397.27,poupança,2025-01-31 12:28:43.715103,desbloqueada
75,75,11276.7,corrente,2025-01-08 11:49:41.081921,pendente
76,76,13025.07,salário,2025-01-31 07:20:52.473371,desbloqueada
77,77,13117.97,corrente,2025-03-19 15:26:29.287718,desbloqueada
78,78,14900.22,poupança,2025-03-08 19:45:38.929456,pendente
79,79,3726.99,corrente,2025-02-05 14:19:42.683455,bloqueada
80,80,7348.29,corrente,2025-01-31 09:47:49.175329,pendente
81,81,14978.35,salário,2025-03-26 13:35:20.060522,bloqueada
82,82,9807.21,poupança,2025-03-24 20:12:10.543325,bloqueada
83,83,3704.75,poupança,2025-02-16 19:55:45.466578,bloqueada
84,84,11367.31,poupança,2025-03-02 22:29:59.513368,bloqueada
85,85,13758.65,corrente,2025-01-20 15:19:51.484162,bloqueada
86,86,3155.12,salário,2025-03-13 08:21:02.186950,pendente
87,87,8153.16,poupança,2025-01-30 08:53:26.329947,pendente
88,88,5196.4,poupança,2025-04-18 07:50:16.963087,desbloqueada
89,89,4463.41,poupança,2025-01-25 12:14:27.052011,bloqueada
90,90,1314.74,poupança,2025-02-05 17:24:16.356469,desbloqueada
91,91,10045.07,poupança,2025-03-26 15:38:54.341717,bloqueada
92,92,4313.52,poupança,2025-01-25 11:26:46.588730,pendente
