transation_id,is_location_suspicious,is_amount_suspicious
1015,0,1
1025,0,1
1038,1,0
1041,0,1
1046,1,0
1051,0,1
1059,1,0
1093,1,0
1107,1,0
1138,0,1
1168,1,0
1172,1,1
1179,0,1
1196,0,1
1214,0,1
1227,1,0
1256,0,1
1269,0,1
1274,1,0
1298,1,0
1302,0,1
1311,0,1
1344,0,1
1355,0,1
1378,0,1
1397,1,0
1402,0,1
1428,1,0
1440,0,1
1451,0,1
1520,0,1
1530,0,1
1576,1,0
1597,0,1
1601,0,1
1602,1,0
1616,0,1
1623,0,1
1740,0,1
1742,0,1
1758,1,0
1802,0,1
1841,1,0
1881,1,0
1921,0,1
1928,0,1
1929,0,1
2020,1,0
2042,0,1
2043,0,1
2062,1,0
2078,0,1
2123,1,0
2138,1,0
2139,1,0
2158,0,1
2205,0,1
2281,0,1
2418,0,1
2422,1,0
2435,0,1
2464,0,1
2562,0,1
2629,0,1
2674,0,1
2685,0,1
2718,1,0
2731,1,0
2752,0,1
2774,1,0
2789,0,1
2801,0,1
2844,0,1
2904,0,1
2916,0,1
2920,0,1
2941,1,0
2972,1,0
2988,0,1
6,0,1
32,0,1
54,0,1
57,1,0
173,0,1
235,0,1
238,1,0
247,0,1
276,0,1
310,0,1
337,1,0
378,1,0
521,1,0
563,1,0
574,1,0
594,0,1
629,1,0
671,1,0
724,0,1
745,1,0
754,0,1
815,0,1
837,0,1
840,0,1
863,0,1
881,1,0
888,0,1
893,0,1
894,1,0
904,1,0
930,0,1
938,1,0
963,1,0
975,1,0
979,0,1
985,0,1
5047,1,0
5079,1,0
5124,1,0
5140,1,0
5151,1,0
5176,0,1
5183,0,1
5187,0,1
5192,1,0
5224,0,1
5266,1,0
5270,0,1
5292,0,1
5297,0,1
5314,0,1
5330,1,0
5346,0,1
5393,0,1
5454,1,0
5456,0,1
5489,0,1
5538,0,1
5561,0,1
5698,0,1
5709,1,0
5718,1,0
5724,0,1
5771,1,0
5796,0,1
5842,0,1
5873,0,1
5885,0,1
5899,1,0
5916,0,1
5918,1,0
5953,0,1
5964,1,0
3041,0,1
3059,0,1
3078,1,1
3120,0,1
3125,1,0
3130,1,0
3144,1,0
3173,1,0
3218,0,1
3248,1,0
3295,1,0
3320,0,1
3336,0,1
3337,1,0
3340,1,0
3343,0,1
3350,0,1
3359,0,1
3368,0,1
3370,0,1
3386,0,1
3455,1,0
3478,1,0
3489,1,0
3490,0,1
3509,0,1
3552,1,0
3629,1,0
3637,1,0
3655,1,0
3681,0,1
3691,0,1
3695,1,0
3775,1,0
3777,0,1
3778,0,1
3873,0,1
3915,0,1
3952,0,1
3968,0,1
4034,0,1
4076,0,1
4089,1,0
4093,1,0
4094,1,0
4119,0,1
4130,0,1
4156,1,0
4186,1,1
4254,0,1
4279,0,1
4312,1,0
4342,0,1
4365,0,1
4389,0,1
4404,0,1
4406,1,0
4419,1,0
4439,0,1
4451,0,1
4479,0,1
4497,1,0
4522,0,1
4548,0,1
4550,0,1
4582,1,0
4585,1,0
4590,0,1
4611,1,1
4620,0,1
4625,1,0
4668,1,0
4671,0,1
4711,1,0
4727,0,1
4744,1,0
4766,1,0
4768,1,0
4771,0,1
4836,0,1
4839,0,1
4931,0,1
4955,1,0
4984,1,0
8003,0,1
8044,0,1
8101,1,0
8103,0,1
8111,1,0
8117,0,1
8151,1,0
8201,1,0
8291,0,1
8295,0,1
8300,1,0
8318,0,1
8319,1,0
8324,1,0
8341,1,0
8347,1,0
8393,0,1
8460,1,0
8466,1,0
8474,0,1
8485,0,1
8496,0,1
8517,0,1
8542,1,0
8598,0,1
8637,1,0
8651,0,1
8665,0,1
8681,0,1
8706,1,0
8715,1,0
8738,1,0
8742,1,0
8756,1,0
8800,0,1
8801,1,0
8815,0,1
8858,1,0
8864,0,1
8866,0,1
8892,0,1
8901,1,0
8929,0,1
8957,0,1
7001,0,1
7006,0,1
7023,0,1
7024,1,0
7130,0,1
7158,0,1
7170,1,0
7182,0,1
7193,0,1
7226,0,1
7229,0,1
7234,0,1
7242,0,1
7259,0,1
7341,1,0
7356,0,1
7367,1,0
7373,1,0
7396,1,0
7403,1,0
