account_id,categoria
389,"D"
289,"D"
638,"D"
965,"D"
992,"D"
804,"D"
494,"D"
837,"D"
433,"D"
94,"D"
989,"D"
561,"D"
723,"D"
774,"D"
584,"D"
12,"D"
847,"D"
864,"D"
607,"D"
659,"D"
922,"D"
991,"D"
722,"D"
754,"D"
30,"D"
916,"D"
288,"D"
690,"D"
411,"D"
283,"D"
171,"D"
740,"D"
348,"D"
544,"D"
582,"D"
332,"D"
504,"D"
679,"D"
380,"D"
350,"D"
915,"D"
259,"D"
100,"D"
836,"D"
621,"D"
705,"D"
236,"D"
865,"D"
445,"D"
352,"D"
558,"D"
729,"D"
437,"D"
499,"D"
839,"D"
477,"D"
109,"D"
452,"D"
748,"D"
317,"D"
838,"D"
150,"D"
488,"D"
629,"D"
875,"D"
716,"D"
639,"D"
568,"D"
891,"D"
190,"D"
653,"D"
374,"D"
465,"D"
10,"D"
416,"D"
167,"D"
67,"D"
709,"D"
196,"D"
800,"D"
521,"D"
626,"D"
632,"D"
300,"D"
45,"D"
241,"D"
944,"D"
670,"D"
28,"D"
213,"D"
910,"D"
403,"D"
334,"D"
719,"D"
245,"D"
777,"D"
535,"D"
779,"D"
396,"D"
756,"D"
983,"D"
744,"D"
702,"D"
451,"D"
55,"D"
29,"D"
818,"D"
76,"D"
467,"D"
630,"D"
412,"D"
476,"D"
114,"D"
694,"D"
270,"D"
11,"D"
60,"D"
48,"D"
78,"D"
247,"D"
520,"D"
610,"D"
462,"D"
615,"D"
180,"D"
503,"D"
102,"D"
303,"D"
408,"D"
633,"D"
978,"D"
587,"D"
420,"D"
843,"D"
869,"D"
933,"D"
414,"D"
977,"D"
512,"D"
325,"D"
873,"D"
392,"D"
762,"D"
884,"D"
663,"D"
867,"D"
129,"D"
972,"D"
612,"D"
280,"D"
235,"D"
206,"D"
257,"D"
126,"D"
771,"D"
164,"D"
165,"D"
287,"D"
552,"D"
990,"D"
498,"D"
458,"D"
301,"D"
373,"D"
745,"D"
41,"D"
133,"D"
796,"D"
14,"D"
788,"D"
274,"D"
382,"D"
266,"D"
342,"D"
853,"D"
323,"D"
148,"D"
619,"D"
480,"D"
755,"D"
935,"D"
820,"D"
840,"D"
656,"D"
551,"D"
293,"D"
89,"D"
606,"D"
731,"D"
413,"D"
737,"D"
469,"D"
608,"D"
654,"D"
295,"D"
583,"D"
636,"D"
555,"D"
371,"D"
766,"D"
701,"D"
677,"D"
963,"D"
170,"D"
439,"D"
383,"D"
33,"D"
329,"D"
980,"D"
37,"D"
254,"D"
528,"D"
344,"D"
244,"D"
321,"D"
877,"D"
988,"D"
397,"D"
130,"D"
253,"D"
982,"D"
223,"D"
940,"D"
68,"D"
862,"D"
819,"D"
631,"D"
667,"D"
852,"D"
686,"D"
781,"D"
510,"D"
589,"D"
405,"D"
298,"D"
645,"D"
346,"D"
107,"D"
537,"D"
347,"D"
746,"D"
904,"D"
215,"D"
318,"D"
460,"D"
945,"D"
204,"D"
962,"D"
203,"D"
886,"D"
272,"D"
936,"D"
805,"D"
370,"D"
553,"D"
732,"D"
603,"D"
205,"D"
393,"D"
186,"D"
183,"D"
228,"D"
158,"D"
2,"D"
261,"D"
623,"D"
560,"D"
530,"D"
971,"D"
66,"D"
378,"D"
749,"D"
693,"D"
57,"D"
554,"D"
4,"D"
39,"D"
901,"D"
829,"D"
431,"D"
609,"D"
909,"D"
752,"D"
906,"D"
697,"D"
65,"D"
801,"D"
993,"D"
578,"D"
712,"D"
6,"D"
858,"D"
200,"D"
429,"D"
624,"D"
44,"D"
710,"D"
660,"D"
365,"D"
845,"D"
830,"D"
273,"D"
579,"D"
511,"D"
229,"D"
381,"D"
286,"D"
121,"D"
267,"D"
996,"D"
637,"D"
487,"D"
281,"D"
599,"D"
357,"D"
135,"D"
193,"D"
789,"D"
879,"D"
141,"D"
426,"D"
168,"D"
790,"D"
728,"D"
302,"D"
459,"D"
772,"D"
822,"D"
641,"D"
898,"D"
523,"D"
739,"D"
527,"D"
77,"D"
741,"D"
812,"D"
692,"D"
296,"D"
173,"D"
222,"D"
775,"D"
517,"D"
214,"D"
759,"D"
147,"D"
792,"D"
550,"D"
601,"D"
104,"D"
3,"D"
22,"D"
795,"D"
368,"D"
673,"D"
984,"D"
995,"D"
271,"D"
939,"D"
502,"D"
56,"D"
806,"D"
928,"D"
967,"D"
483,"D"
375,"D"
662,"D"
162,"D"
242,"D"
899,"D"
495,"D"
80,"D"
454,"D"
435,"D"
652,"D"
725,"D"
8,"D"
285,"D"
620,"D"
947,"D"
82,"D"
508,"D"
783,"D"
154,"D"
246,"D"
120,"D"
594,"D"
292,"D"
181,"D"
70,"D"
166,"D"
440,"D"
471,"D"
602,"D"
514,"D"
277,"D"
124,"D"
876,"D"
91,"D"
885,"D"
43,"D"
388,"D"
422,"D"
354,"D"
735,"D"
714,"D"
566,"D"
597,"D"
562,"D"
743,"D"
870,"D"
981,"D"
20,"D"
824,"D"
611,"D"
985,"D"
726,"D"
841,"D"
9,"D"
787,"D"
917,"D"
359,"D"
448,"D"
999,"D"
866,"D"
543,"D"
443,"D"
881,"D"
54,"D"
529,"D"
428,"D"
18,"D"
131,"D"
908,"D"
658,"D"
466,"D"
798,"D"
113,"D"
834,"D"
179,"D"
81,"D"
835,"D"
163,"D"
564,"D"
895,"D"
194,"D"
463,"D"
355,"D"
226,"D"
160,"D"
0,"D"
457,"D"
664,"D"
475,"D"
549,"D"
567,"D"
900,"D"
64,"D"
446,"D"
676,"D"
651,"D"
685,"D"
209,"D"
450,"D"
934,"D"
516,"D"
58,"D"
255,"D"
175,"D"
846,"D"
951,"D"
757,"D"
115,"D"
456,"D"
157,"D"
585,"D"
649,"D"
799,"D"
634,"D"
643,"D"
278,"D"
345,"D"
661,"D"
878,"D"
742,"D"
367,"D"
419,"D"
360,"D"
16,"D"
559,"D"
112,"D"
943,"D"
441,"D"
565,"D"
600,"D"
913,"D"
769,"D"
87,"D"
856,"D"
640,"D"
949,"D"
123,"D"
764,"D"
808,"D"
327,"D"
959,"D"
861,"D"
75,"D"
256,"D"
545,"D"
689,"D"
703,"D"
399,"D"
174,"D"
592,"D"
364,"D"
415,"D"
234,"D"
110,"D"
519,"D"
188,"D"
333,"D"
136,"D"
127,"D"
797,"D"
596,"D"
189,"D"
773,"D"
518,"D"
979,"D"
894,"D"
322,"D"
526,"D"
823,"D"
815,"D"
622,"D"
563,"D"
208,"D"
442,"D"
556,"D"
541,"D"
478,"D"
418,"D"
309,"D"
362,"D"
524,"D"
314,"D"
827,"D"
106,"D"
698,"D"
490,"D"
860,"D"
291,"D"
669,"D"
210,"D"
492,"D"
786,"D"
311,"D"
98,"D"
570,"D"
506,"D"
635,"D"
780,"D"
497,"D"
646,"D"
973,"D"
24,"D"
573,"D"
946,"D"
31,"D"
997,"D"
682,"D"
874,"D"
391,"D"
912,"D"
538,"D"
482,"D"
424,"D"
425,"D"
23,"D"
282,"D"
145,"D"
618,"D"
931,"D"
202,"D"
750,"D"
407,"D"
882,"D"
299,"D"
625,"D"
572,"D"
49,"D"
372,"D"
275,"D"
62,"D"
178,"D"
859,"D"
197,"D"
216,"D"
591,"D"
395,"D"
400,"D"
308,"D"
892,"D"
384,"D"
911,"D"
237,"D"
595,"D"
485,"D"
938,"D"
833,"D"
402,"D"
297,"D"
642,"D"
225,"D"
699,"D"
674,"D"
778,"D"
974,"D"
736,"D"
25,"D"
496,"D"
310,"D"
708,"D"
505,"D"
720,"D"
942,"D"
758,"D"
184,"D"
86,"D"
243,"D"
817,"D"
678,"D"
970,"D"
268,"D"
306,"D"
432,"D"
821,"D"
958,"D"
987,"D"
83,"D"
871,"D"
35,"D"
668,"D"
436,"D"
128,"D"
576,"D"
577,"D"
848,"D"
13,"D"
207,"D"
220,"D"
376,"D"
111,"D"
387,"D"
534,"D"
187,"D"
586,"D"
966,"D"
379,"D"
51,"D"
430,"D"
233,"D"
59,"D"
328,"D"
97,"D"
331,"D"
149,"D"
680,"D"
695,"D"
232,"D"
896,"D"
52,"D"
137,"D"
320,"D"
252,"D"
950,"D"
571,"D"
142,"D"
169,"D"
7,"D"
617,"D"
700,"D"
650,"D"
948,"D"
687,"D"
212,"D"
727,"D"
53,"D"
258,"D"
284,"D"
684,"D"
159,"D"
539,"D"
918,"D"
807,"D"
986,"D"
198,"D"
605,"D"
734,"D"
825,"D"
217,"D"
312,"D"
40,"D"
17,"D"
398,"D"
38,"D"
335,"D"
46,"D"
604,"D"
831,"D"
361,"D"
93,"D"
264,"D"
386,"D"
251,"D"
500,"D"
326,"D"
176,"D"
855,"D"
926,"D"
5,"D"
92,"D"
356,"D"
738,"D"
103,"D"
315,"D"
316,"D"
907,"D"
479,"D"
531,"D"
468,"D"
404,"D"
540,"D"
69,"D"
547,"D"
239,"D"
338,"D"
802,"D"
964,"D"
421,"D"
19,"D"
118,"D"
185,"D"
953,"D"
536,"D"
50,"D"
211,"D"
358,"D"
140,"D"
260,"D"
648,"D"
401,"D"
117,"D"
655,"D"
887,"D"
15,"D"
683,"D"
761,"D"
751,"D"
290,"D"
366,"D"
36,"D"
665,"D"
976,"D"
782,"D"
343,"D"
811,"D"
21,"D"
138,"D"
747,"D"
969,"D"
71,"D"
336,"D"
79,"D"
409,"D"
438,"D"
182,"D"
920,"D"
363,"D"
857,"D"
108,"D"
26,"D"
930,"D"
914,"D"
153,"D"
924,"D"
810,"D"
339,"D"
923,"D"
809,"D"
880,"D"
125,"D"
276,"D"
696,"D"
146,"D"
449,"D"
32,"D"
250,"D"
994,"D"
341,"D"
672,"D"
763,"D"
872,"D"
533,"D"
905,"D"
455,"D"
73,"D"
221,"D"
161,"D"
143,"D"
453,"D"
34,"D"
614,"D"
522,"D"
42,"D"
144,"D"
581,"D"
711,"D"
851,"D"
675,"D"
889,"D"
470,"D"
324,"D"
657,"D"
353,"D"
647,"D"
119,"D"
707,"D"
294,"D"
765,"D"
507,"D"
961,"D"
474,"D"
269,"D"
721,"D"
484,"D"
330,"D"
717,"D"
628,"D"
760,"D"
932,"D"
406,"D"
390,"D"
410,"D"
313,"D"
231,"D"
27,"D"
793,"D"
305,"D"
337,"D"
493,"D"
152,"D"
580,"D"
588,"D"
472,"D"
99,"D"
902,"D"
785,"D"
116,"D"
794,"D"
627,"D"
224,"D"
598,"D"
279,"D"
515,"D"
95,"D"
960,"D"
155,"D"
952,"D"
481,"D"
768,"D"
340,"D"
307,"D"
718,"D"
688,"D"
489,"D"
574,"D"
417,"D"
770,"D"
706,"D"
464,"D"
191,"D"
172,"D"
844,"D"
616,"D"
826,"D"
888,"D"
883,"D"
349,"D"
569,"D"
351,"D"
954,"D"
548,"D"
248,"D"
265,"D"
776,"D"
201,"D"
218,"D"
850,"D"
319,"D"
849,"D"
199,"D"
240,"D"
486,"D"
784,"D"
444,"D"
613,"D"
937,"D"
473,"D"
84,"D"
925,"D"
525,"D"
868,"D"
394,"D"
644,"D"
219,"D"
434,"D"
927,"D"
733,"D"
903,"D"
814,"D"
501,"D"
956,"D"
177,"D"
941,"D"
955,"D"
919,"D"
921,"D"
542,"D"
377,"D"
730,"D"
105,"D"
832,"D"
195,"D"
72,"D"
304,"D"
262,"D"
803,"D"
513,"D"
139,"D"
427,"D"
593,"D"
85,"D"
854,"D"
447,"D"
122,"D"
890,"D"
151,"D"
227,"D"
423,"D"
828,"D"
230,"D"
63,"D"
575,"D"
968,"D"
791,"D"
715,"D"
101,"D"
461,"D"
532,"D"
132,"D"
893,"D"
590,"D"
509,"D"
557,"D"
998,"D"
929,"D"
842,"D"
47,"D"
546,"D"
74,"D"
863,"D"
96,"D"
263,"D"
61,"D"
238,"D"
491,"D"
753,"D"
666,"D"
816,"D"
88,"D"
156,"D"
134,"D"
671,"D"
1,"D"
369,"D"
90,"D"
897,"D"
957,"D"
691,"D"
681,"D"
767,"D"
192,"D"
713,"D"
385,"D"
249,"D"
975,"D"
704,"D"
724,"D"
813,"D"
