transation_id,account_id,recipient_id,amount,type,time_start,location,processed_at
0,6114,7279,2623.43,pagamento,01:50:03,West Tony,01:50:23
1,1628,6312,4914.21,transferência,16:48:10,West Bethanyburgh,16:48:31
2,211,5644,182.55,depósito,11:25:27,Port Valerie,11:25:53
3,3116,7105,4772.07,pagamento,19:16:33,Jamesmouth,19:17:11
4,9577,4368,4881.99,depósito,16:38:01,South Rachel,16:38:19
5,2551,5210,1465.55,retirada,21:49:16,Port Paulmouth,21:50:15
6,1928,3953,98.01,retirada,07:31:27,South Robin,07:32:19
7,9368,2440,4511.39,transferência,14:11:33,North Garyburgh,14:12:25
8,7933,7528,3128.91,pagamento,20:43:15,Erikafurt,20:44:07
9,6471,6989,801.36,retirada,02:12:24,Kevinside,02:13:13
10,8585,6479,3149.8,transferência,00:53:55,Jeffreymouth,00:54:08
11,8387,4827,3183.52,transferência,00:26:00,Walkerfort,00:26:51
12,486,5588,3526.44,retirada,14:55:00,Wernermouth,14:55:51
13,7906,1930,1029.74,transferência,18:47:07,Cookfurt,18:47:24
14,7205,6812,2124.25,pagamento,20:07:50,Port Taylor,20:08:49
15,1511,4361,4974.37,pagamento,21:23:14,Smithport,21:23:54
16,1084,4775,3908.92,depósito,20:16:09,South Seanshire,20:16:26
17,7474,7076,4240.55,pagamento,16:27:12,Tylershire,16:28:11
18,312,6690,4036.58,pagamento,17:19:38,Morganmouth,17:20:16
19,9884,6693,4611.27,pagamento,05:08:25,Keithmouth,05:09:00
20,3329,6657,3782.02,depósito,18:36:42,East Susan,18:36:55
21,869,4830,1332.16,pagamento,21:49:33,Websterchester,21:50:07
22,2959,8870,1687.91,transferência,04:31:49,Tiffanyland,04:32:01
23,3981,5717,1127.85,retirada,17:21:55,Port Keith,17:22:12
24,2426,2156,3411.17,transferência,23:00:10,Walkerfort,23:00:57
25,3583,1789,4477.27,depósito,05:35:25,North Heiditown,05:35:36
26,2910,2839,2635.74,pagamento,10:30:54,Cherryfurt,10:31:31
27,3151,6674,4444.0,pagamento,14:48:37,Meganfurt,14:48:55
28,6186,8712,3216.28,pagamento,14:32:08,South Jesusfort,14:32:34
29,3858,8624,2822.27,depósito,00:27:53,Gonzalezborough,00:28:30
30,4438,5025,1608.05,transferência,17:42:03,North Tonyberg,17:42:43
